entity_type,external_id,name,category_slug,district,address,latitude,longitude,image_count,source_url
location,osm-node-4807957148,Trung tam Giai tri Phuc hop Helio Center,cong-vien-nuoc,Hai Chau,"Duong 2 Thang 9, Hai Chau, Da Nang",16.0364559,108.2246715,3,https://www.openstreetmap.org/node/4807957148
location,osm-way-1368599361,Bao tang Da Nang,bao-tang-di-tich,,"42, Duong Tran Phu, Da Nang",16.0748319,108.2239805,3,https://www.openstreetmap.org/way/1368599361
location,osm-way-302872188,Bao tang Nghe thuat Dieu khac Cham Da Nang,bao-tang-di-tich,,"Duong Bach Dang, Da Nang",16.0601964,108.223168,3,https://www.openstreetmap.org/way/302872188
location,osm-way-302618031,Bao tang Da Nang,bao-tang-di-tich,,"24, Duong Tran Phu, Da Nang",16.0763269,108.221568,3,https://www.openstreetmap.org/way/302618031
location,osm-node-8474743417,Bao tang Phat giao,bao-tang-di-tich,,"Duong Suvan Hanh, Da Nang",15.9994308,108.2545831,3,https://www.openstreetmap.org/node/8474743417
location,osm-node-12404434601,Khu Van hoa Tam linh Da Son,check-in-noi-tieng,quan Lien Chieu,"quan Lien Chieu, Da Nang",16.0418575,108.1477778,3,https://www.openstreetmap.org/node/12404434601
location,osm-way-780440810,My Khe Beach Park,cong-vien-vuon-hoa,Ngu Hanh Son,"53, Duong Vo Nguyen Giap, Ngu Hanh Son, Da Nang",16.0505945,108.2489008,3,https://www.openstreetmap.org/way/780440810
location,osm-way-780440511,Son Tra Ocean View Pool & Spa,cong-vien-vuon-hoa,Son Tra,"95, Ngo Quyen, Son Tra, Da Nang",16.0969433,108.2463483,3,https://www.openstreetmap.org/way/780440511
location,osm-way-846695791,Trung tam Van hoa - The thao quan Thanh Khe,cong-vien-vuon-hoa,Quan Thanh Khe,"Duong Ho Tuong, Quan Thanh Khe, Da Nang",16.0615545,108.183214,3,https://www.openstreetmap.org/way/846695791
location,osm-node-5817580453,Art in Paradise Da Nang 3D Museum,bao-tang-di-tich,,"Tran Nhan Tong, Da Nang",16.0953807,108.2430769,3,https://www.openstreetmap.org/node/5817580453
location,osm-way-204790989,Cho Con,check-in-noi-tieng,Quan Hai Chau,"Quan Hai Chau, Da Nang",16.0681703,108.2145338,3,https://www.openstreetmap.org/way/204790989
